강좌명
김기현의 딥러닝을 활용한 자연어처리 입문
OpenCV를 활용한 컴퓨터비전과 딥러닝
수학적으로 접근하는 딥러닝
김기현의 딥러닝을 활용한 자연어생성
GAN 딥러닝 완벽 가이드 with 글로벌 엔지니어 Global Expert.
파이썬을 활용한 데이터 전처리 Level UP
REC.ON : Autonomous Vehicle
파이썬을 활용한 이커머스 데이터 분석
딥러닝을 활용한 추천시스템 구현
처음부터 시작하는 딥러닝 유치원
퀴즈처럼 풀면서 배우는 파이썬 딥러닝 300제+
퀴즈처럼 풀면서 배우는 파이썬 머신러닝 300제+
The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱
세계 3등에게 배우는 실무 밀착 데이터 시각화
"김기현의 BERT, GPT-3를 활용한 자연어처리"
조MD의 스마트스토어 순수익으로 월급 뛰어넘기
"가장 쉽게 시작하는 데이터 분석, SQL 유치원"
패스트캠퍼스 : 데이터 분석 부트캠프
나의 커리어 치트키 데이터 분석 유치원
Android 앱 개발의 정석 with Kotlin 올인원 패키지 Online.
한 번에 끝내는 데이터 사이언스 초격차 패키지 Online.
빅데이터처리 with Spark&Hadoop 초격차 패키지 Online.
한 번에 끝내는 데이터 엔지니어링 초격차 패키지 Online.
직장인을 위한 파이썬 데이터 분석 초격차 패키지 Online.
한 번에 끝내는 구글 스프레드시트 초격차 패키지 Online
프로젝트와 함께 배우는 R 데이터 분석
[초급] 세계 3등에게 배우는 실무 밀착 데이터 시각화
[입문] SQL 데이터 분석 첫걸음
The RED : Snowflake를 활용한 클라우드 데이터 엔지니어링
요즘 잘나가는 마케터들 데이터로 일합니다
10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring) 초격차 패키지 Online.
합격의 하이패스 : SQLD 자격 과정
비전공자도 이해할 수 있는 실제 기업의 데이터 분석 프로젝트
120일 만에 데이터 분석가로 취업한 어느 문과생의 비밀 노트
한 번에 끝내는 퀀트(금융공학) 실무 초격차 패키지 Online.
실무 사례로 배우는 컴퓨터 비전 논문 구현과 알고리즘 성능 최적화
딥러닝/머신러닝을 활용한 시계열 데이터 분석
딥러닝·인공지능 Signature 초격차 패키지 Online.
33개 프로젝트로 완성하는 컴퓨터비전 딥러닝 심화 과정
한 권으로 살펴보는 데이터 사이언스의 이해
The RED : SOCAR 김상우 HEAD의 비즈니스의 운명을 바꾸는 Dynamic Pricing
실패 없이 완주하는 파이썬 데이터 분석 입문
논문 구현과 실험으로 배우는 딥러닝 모델 성능 최적화
CLASS : 프로덕트 고속 성장을 위한 디지털 마케팅 온보딩 클래스
AI Paper : 논문 구현과 실습으로 배우는 NeRF
백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리 초격차 패키지 Online.
빅데이터분석기사 실기 한 번에 합격하는 비법
데이터 분석을 위한 기초 통계 완전 정복
20개 실습으로 익히는 시퀀스 데이터 딥러닝의 모든 것
파이썬으로 할 수 있는 모든 것 with 47개 프로젝트 초격차 패키지 Online.
한 번에 끝내는 SQL과 데이터 시각화 초격차 패키지 Online.
AWS/GCP/Azure 데이터 파이프라인 구축과 하이브리드&멀티 클라우드 활용
회사에서 바로 쓰는 실무 엑셀
Spark & Elastic Stack을 활용한 데이터 분산 처리
실무 핵심 능력 UPSKILL : 3단계 시나리오 기반 대규모 이커머스 프로젝트 feat. 대용량 데이터 처리
한 번에 끝내는 Java/Spring 웹 개발 Essential
[1년 수강] 훈쌤과 함께하는 ADsP 4주 최단기 합격패스
간편결제 프로젝트로 한 번에 끝내는 실전 MSA 초격차 패키지 Online.
[초급] 한 번에 따라하는 파이썬 데이터 분석 기초 완주반
30개 프로젝트로 끝내는 추천시스템 구현 초격차 패키지
101개 케이스로 한 번에 끝내는 역기획 & 케이스 스터디
실시간 데이터 처리 위한 Spark & Flink & Kafka
데이터 분석 Master Class
백엔드 실전 역량 강화를 위한 5개 도메인 프로젝트 (Kotlin/Spring) 초격차 패키지 Online.
[1년 수강] 훈쌤과 함께하는 빅데이터분석기사 필기 4주 최단기 합격패스
현실 세상의 컴퓨터공학 지식 with 30가지 실무 시나리오 초격차 패키지 Online.
부동산 사업타당성 분석을 위한 Financial Modeling의 모든 것 초격차 패키지 Online.
세계 3등에게 배우는 13개 데이터 분석 프로젝트
ChatGPT로 설계하는 1% 상위노출 핵심 전략
백엔드 개발자를 위한 Kubernetes: 클라우드 네이티브 프로그래밍 초격차 패키지 Online.
2024 한 번에 끝내는 디지털 마케팅 초격차 패키지: signature plus
9개 프로젝트로 경험하는 대용량 트래픽 & 데이터 처리 초격차 패키지 Online.
"파이썬으로 개발하는 빅데이터 기반 맛집 추천 서비스 (ft. Django, FastAPI) 초격차 패키지 Online."
초격차 패키지 : 한번에 끝내는 Kafka Ecosystem
7개 프로젝트로 완벽하게 끝내는 AWS 데이터 파이프라인 구축
[바이트디그리 EXPORT] 데이터 분석 2기
의료 데이터를 활용한 바이오 진단 & 신약 개발 모델 구현
The RED : 견고한 UI 설계를 위한 마크업 가이드 by 정찬명
The RED : Meta 연구원 문경식의 단일 이미지 인식을 통한 Human Pose Estimation
한 번에 끝내는 컴퓨터비전 초격차 패키지 Online.
논리적인 디자인을 위한 Data Driven UX 올인원 패키지 Online.
